manufacturer,aspiration,body,drive,engine_location,engine_type,fuel_system,horsepower,peak_rpm,city_mpg,highway_mpg,price,fuel,num_doors,num_cylinders
0,0,0,2,0,0,5,111.0,5000.0,21,27,13495.0,1,2,4
0,0,0,2,0,0,5,111.0,5000.0,21,27,16500.0,1,2,4
0,0,2,2,0,4,5,154.0,5000.0,19,26,16500.0,1,2,6
1,0,3,1,0,2,5,102.0,5500.0,24,30,13950.0,1,4,4
1,0,3,0,0,2,5,115.0,5500.0,18,22,17450.0,1,4,5
1,0,3,1,0,2,5,110.0,5500.0,19,25,15250.0,1,2,5
1,0,3,1,0,2,5,110.0,5500.0,19,25,17710.0,1,4,5
1,0,4,1,0,2,5,110.0,5500.0,19,25,18920.0,1,4,5
1,1,3,1,0,2,5,140.0,5500.0,17,20,23875.0,1,4,5
2,0,3,2,0,2,5,101.0,5800.0,23,29,16430.0,1,2,4
2,0,3,2,0,2,5,101.0,5800.0,23,29,16925.0,1,4,4
2,0,3,2,0,2,5,121.0,4250.0,21,28,20970.0,1,2,6
2,0,3,2,0,2,5,121.0,4250.0,21,28,21105.0,1,4,6
2,0,3,2,0,2,5,121.0,4250.0,20,25,24565.0,1,4,6
2,0,3,2,0,2,5,182.0,5400.0,16,22,30760.0,1,4,6
2,0,3,2,0,2,5,182.0,5400.0,16,22,41315.0,1,2,6
2,0,3,2,0,2,5,182.0,5400.0,15,20,36880.0,1,4,6
3,0,2,1,0,1,1,48.0,5100.0,47,53,5151.0,1,2,4
3,0,2,1,0,2,1,70.0,5400.0,38,43,6295.0,1,2,4
3,0,3,1,0,2,1,70.0,5400.0,38,43,6575.0,1,4,4
4,0,2,1,0,2,1,68.0,5500.0,37,41,5572.0,1,2,4
4,0,2,1,0,2,1,68.0,5500.0,31,38,6377.0,1,2,4
4,1,2,1,0,2,5,102.0,5500.0,24,30,7957.0,1,2,4
4,0,2,1,0,2,1,68.0,5500.0,31,38,6229.0,1,4,4
4,0,3,1,0,2,1,68.0,5500.0,31,38,6692.0,1,4,4
4,0,3,1,0,2,1,68.0,5500.0,31,38,7609.0,1,4,4
4,1,3,1,0,2,5,102.0,5500.0,24,30,8558.0,1,4,4
4,0,4,1,0,2,1,88.0,5000.0,24,30,8921.0,1,4,4
