manufacturer,aspiration,doors,body,drive,engine_location,engine_type,cylinders,fuel_system,horsepower,peak_rpm,city_mpg,highway_mpg,price,diesel,gas
alfa-romero,std,two,convertible,rwd,front,dohc,four,mpfi,111.0,5000.0,21,27,13495.0,0,1
alfa-romero,std,two,convertible,rwd,front,dohc,four,mpfi,111.0,5000.0,21,27,16500.0,0,1
alfa-romero,std,two,hatchback,rwd,front,ohcv,six,mpfi,154.0,5000.0,19,26,16500.0,0,1
audi,std,four,sedan,fwd,front,ohc,four,mpfi,102.0,5500.0,24,30,13950.0,0,1
audi,std,four,sedan,4wd,front,ohc,five,mpfi,115.0,5500.0,18,22,17450.0,0,1
audi,std,two,sedan,fwd,front,ohc,five,mpfi,110.0,5500.0,19,25,15250.0,0,1
audi,std,four,sedan,fwd,front,ohc,five,mpfi,110.0,5500.0,19,25,17710.0,0,1
audi,std,four,wagon,fwd,front,ohc,five,mpfi,110.0,5500.0,19,25,18920.0,0,1
audi,turbo,four,sedan,fwd,front,ohc,five,mpfi,140.0,5500.0,17,20,23875.0,0,1
bmw,std,two,sedan,rwd,front,ohc,four,mpfi,101.0,5800.0,23,29,16430.0,0,1
bmw,std,four,sedan,rwd,front,ohc,four,mpfi,101.0,5800.0,23,29,16925.0,0,1
bmw,std,two,sedan,rwd,front,ohc,six,mpfi,121.0,4250.0,21,28,20970.0,0,1
bmw,std,four,sedan,rwd,front,ohc,six,mpfi,121.0,4250.0,21,28,21105.0,0,1
bmw,std,four,sedan,rwd,front,ohc,six,mpfi,121.0,4250.0,20,25,24565.0,0,1
bmw,std,four,sedan,rwd,front,ohc,six,mpfi,182.0,5400.0,16,22,30760.0,0,1
bmw,std,two,sedan,rwd,front,ohc,six,mpfi,182.0,5400.0,16,22,41315.0,0,1
bmw,std,four,sedan,rwd,front,ohc,six,mpfi,182.0,5400.0,15,20,36880.0,0,1
chevrolet,std,two,hatchback,fwd,front,l,three,2bbl,48.0,5100.0,47,53,5151.0,0,1
chevrolet,std,two,hatchback,fwd,front,ohc,four,2bbl,70.0,5400.0,38,43,6295.0,0,1
chevrolet,std,four,sedan,fwd,front,ohc,four,2bbl,70.0,5400.0,38,43,6575.0,0,1
dodge,std,two,hatchback,fwd,front,ohc,four,2bbl,68.0,5500.0,37,41,5572.0,0,1
dodge,std,two,hatchback,fwd,front,ohc,four,2bbl,68.0,5500.0,31,38,6377.0,0,1
dodge,turbo,two,hatchback,fwd,front,ohc,four,mpfi,102.0,5500.0,24,30,7957.0,0,1
dodge,std,four,hatchback,fwd,front,ohc,four,2bbl,68.0,5500.0,31,38,6229.0,0,1
dodge,std,four,sedan,fwd,front,ohc,four,2bbl,68.0,5500.0,31,38,6692.0,0,1
dodge,std,four,sedan,fwd,front,ohc,four,2bbl,68.0,5500.0,31,38,7609.0,0,1
dodge,turbo,four,sedan,fwd,front,ohc,four,mpfi,102.0,5500.0,24,30,8558.0,0,1
dodge,std,four,wagon,fwd,front,ohc,four,2bbl,88.0,5000.0,24,30,8921.0,0,1
dodge,turbo,two,hatchback,fwd,front,ohc,four,mfi,145.0,5000.0,19,24,12964.0,0,1
honda,std,two,hatchback,fwd,front,ohc,four,1bbl,58.0,4800.0,49,54,6479.0,0,1
honda,std,two,hatchback,fwd,front,ohc,four,1bbl,76.0,6000.0,31,38,6855.0,0,1
honda,std,two,hatchback,fwd,front,ohc,four,1bbl,60.0,5500.0,38,42,5399.0,0,1
honda,std,two,hatchback,fwd,front,ohc,four,1bbl,76.0,6000.0,30,34,6529.0,0,1
honda,std,two,hatchback,fwd,front,ohc,four,1bbl,76.0,6000.0,30,34,7129.0,0,1
honda,std,four,sedan,fwd,front,ohc,four,1bbl,76.0,6000.0,30,34,7295.0,0,1
honda,std,four,wagon,fwd,front,ohc,four,1bbl,76.0,6000.0,30,34,7295.0,0,1
honda,std,two,hatchback,fwd,front,ohc,four,1bbl,86.0,5800.0,27,33,7895.0,0,1
honda,std,two,hatchback,fwd,front,ohc,four,1bbl,86.0,5800.0,27,33,9095.0,0,1
honda,std,four,sedan,fwd,front,ohc,four,1bbl,86.0,5800.0,27,33,8845.0,0,1
honda,std,four,sedan,fwd,front,ohc,four,1bbl,86.0,5800.0,27,33,10295.0,0,1
honda,std,four,sedan,fwd,front,ohc,four,mpfi,101.0,5800.0,24,28,12945.0,0,1
honda,std,two,sedan,fwd,front,ohc,four,2bbl,100.0,5500.0,25,31,10345.0,0,1
isuzu,std,four,sedan,rwd,front,ohc,four,2bbl,78.0,4800.0,24,29,6785.0,0,1
isuzu,std,two,hatchback,rwd,front,ohc,four,spfi,90.0,5000.0,24,29,11048.0,0,1
